Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
1629,735,735,898,2032,898,758,781
1675,744,744,898,2043,898,767,791
1727,717,717,881,2082,904,741,764
1578,704,704,891,2064,867,727,751
2070,709,709,997,1657,825,755,802
2203,706,683,953,1716,823,753,776
2357,721,698,942,1755,861,768,791
2500,732,709,903,1844,867,755,802
2500,725,679,972,1634,795,748,772
2500,869,684,940,1650,799,730,776
2500,905,686,941,1718,802,732,779
2500,902,670,902,1728,809,716,763
2500,918,662,871,1786,824,731,755
2500,977,685,871,1787,824,731,754
2500,1030,646,855,1783,785,715,738
2201,1213,698,837,1951,884,744,767
2172,1230,683,845,1913,891,752,775
2081,1288,680,842,1926,912,749,772
1634,1587,704,774,1918,1113,750,797
1600,1671,710,757,1813,1223,757,803
1574,1692,706,752,1763,1266,752,776
1414,1991,703,703,1203,2180,819,796
1239,2440,763,717,832,2500,1078,809
1259,2489,757,711,803,2500,1106,826
1232,2500,799,706,729,2160,1138,822
1132,2500,840,732,708,1994,1250,817
1151,2500,872,733,710,1910,1305,849
1161,2500,928,730,707,1860,1366,845
1148,2500,903,745,722,1880,1383,833
1158,2500,902,727,704,1879,1385,843
2500,1545,801,777,754,1781,1452,870
2500,1491,811,764,741,1751,1515,893
2500,1468,813,767,744,1703,1561,883
2500,1389,794,748,725,1577,1658,877
2500,973,809,762,739,1564,1635,878
2500,915,802,778,732,1534,1676,868
2500,912,796,773,727,1525,1714,889
1810,826,780,757,734,1644,1530,863
